PERMIT_TYPE	WDID	APP_ID	REPORTING_YEAR	REPORT_ID	EVENT_TYPE	MONITORING_LOCATION_NAME	MONITORING_LOCATION_TYPE	MONITOR_LOCATION_DESCRIPTION	MONITORING_LATITUDE	MONITORING_LONGITUDE	SAMPLE_ID	SAMPLE_DATE	SAMPLE_TIME	DISCHARGE_START_DATE	DISCHARGE_START_TIME	PARAMETER	RESULT_QUALIFIER	RESULT	UNITS	ANALYTICAL_METHOD	MDL	RL	DISCHARGE_END_DATE	DISCHARGE_END_TIME	CERTIFIER_NAME	CERTIFIED_DATE
Industrial	2 01I000201	180604	2015	857271	Qualifying Storm Event	X1	Effluent Monitoring	Storm Drain #1	37.706416	-122.18824	2144601	11/02/2015	08:51	11/02/2015	00:00	Total Suspended Solids (TSS)	=	9.4	mg/L	A2540D	1	1			Bill Hunt	15-DEC-15 11.24.09.525000 AM
Industrial	2 01I000201	180604	2015	857271	Qualifying Storm Event	X1	Effluent Monitoring	Storm Drain #1	37.706416	-122.18824	2144601	11/02/2015	08:51	11/02/2015	00:00	Oil and Grease	=	2.4	mg/L	E1664A	1.4	5			Bill Hunt	15-DEC-15 11.24.09.525000 AM
Industrial	2 01I000201	180604	2015	857271	Qualifying Storm Event	X2	Effluent Monitoring	Storm Drain #2	37.706416	-122.18824	2144602	11/02/2015	09:00	11/02/2015	00:00	Total Suspended Solids (TSS)	=	12	mg/L	A2540D	1	1			Bill Hunt	15-DEC-15 11.24.09.525000 AM
Industrial	2 01I000201	180604	2015	857271	Qualifying Storm Event	X2	Effluent Monitoring	Storm Drain #2	37.706416	-122.18824	2144602	11/02/2015	09:00	11/02/2015	00:00	Oil and Grease	=	1.9	mg/L	E1664A	1.4	5			Bill Hunt	15-DEC-15 11.24.09.525000 AM
Industrial	2 01I000201	180604	2015	857271	Qualifying Storm Event	X2	Effluent Monitoring	Storm Drain #2	37.706416	-122.18824	2144602	11/02/2015	09:00	11/02/2015	00:00	pH	=	8	SU	pH_Paper	1	1			Bill Hunt	15-DEC-15 11.24.09.525000 AM
Industrial	2 01I000201	180604	2015	857271	Qualifying Storm Event	X1	Effluent Monitoring	Storm Drain #1	37.706416	-122.18824	2144601	11/02/2015	08:51	11/02/2015	00:00	pH	=	8	SU	pH_Paper	1	1			Bill Hunt	15-DEC-15 11.24.09.525000 AM
Industrial	2 01I000434	180609	2015	866951	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172549	11/02/2015	09:10			Iron, Total	=	1.9	mg/L	E200.8	.04				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866951	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172549	11/02/2015	09:10			Oil and Grease	<	1.5	mg/L	E1664A	1.5				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866951	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172549	11/02/2015	09:10			pH	=	7.39	SU	A4500HB	.1				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866951	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172549	11/02/2015	09:10			Total Suspended Solids (TSS)	=	41	mg/L	A2540D	5				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866961	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172553	12/10/2015	09:45			Total Suspended Solids (TSS)	=	30	mg/L	A2540D	1.6				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866961	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172553	12/10/2015	09:45			Iron, Total	=	2.1	mg/L	E200.7	.17				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866961	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172553	12/10/2015	09:45			Oil and Grease	=	1.4	mg/L	E1664A	.59				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866961	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172553	12/10/2015	09:45			pH	=	7.32	SU	A4500HB	.1				Joe Brooks	09-JUN-16 11.53.25.074000 AM
Industrial	2 01I000434	180609	2015	866962	Qualifying Storm Event	X1	Effluent Monitoring	South West Corner	37.67289	-121.86454	2172555	01/06/2016	08:30			Oil and Grease	=	1.9	mg/L	E1664A	.61				Joe Brooks	09-JUN-16 11.53.25.074000 AM
